Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Mean Annual Earnings,2011,Both sexes,Clare,15 - 24 years,Euro,17926,CLARE
Mean Annual Earnings,2011,Both sexes,Clare,15 years and over,Euro,38592,CLARE
Mean Annual Earnings,2011,Both sexes,Clare,25 - 29 years,Euro,29648,CLARE
Mean Annual Earnings,2011,Both sexes,Clare,30 - 39 years,Euro,38815,CLARE
Mean Annual Earnings,2011,Both sexes,Clare,40 - 49 years,Euro,44290,CLARE
Mean Annual Earnings,2011,Both sexes,Clare,50 - 59 years,Euro,43667,CLARE
Mean Annual Earnings,2011,Both sexes,Clare,60 years and over,Euro,29844,CLARE
Mean Annual Earnings,2011,Both sexes,Cork,15 - 24 years,Euro,17702,CORK
Mean Annual Earnings,2011,Both sexes,Cork,15 years and over,Euro,39169,CORK
Mean Annual Earnings,2011,Both sexes,Cork,25 - 29 years,Euro,29776,CORK
Mean Annual Earnings,2011,Both sexes,Cork,30 - 39 years,Euro,40433,CORK
Mean Annual Earnings,2011,Both sexes,Cork,40 - 49 years,Euro,46167,CORK
Mean Annual Earnings,2011,Both sexes,Cork,50 - 59 years,Euro,43680,CORK
Mean Annual Earnings,2011,Both sexes,Cork,60 years and over,Euro,31761,CORK
Mean Annual Earnings,2011,Both sexes,Cavan,15 - 24 years,Euro,18274,CAVAN
Mean Annual Earnings,2011,Both sexes,Cavan,15 years and over,Euro,34489,CAVAN
Mean Annual Earnings,2011,Both sexes,Cavan,25 - 29 years,Euro,29612,CAVAN
Mean Annual Earnings,2011,Both sexes,Cavan,30 - 39 years,Euro,36487,CAVAN
Mean Annual Earnings,2011,Both sexes,Cavan,40 - 49 years,Euro,38029,CAVAN
Mean Annual Earnings,2011,Both sexes,Cavan,50 - 59 years,Euro,37105,CAVAN
Mean Annual Earnings,2011,Both sexes,Cavan,60 years and over,Euro,28915,CAVAN
Mean Annual Earnings,2011,Both sexes,Carlow,15 - 24 years,Euro,17558,CARLOW
Mean Annual Earnings,2011,Both sexes,Carlow,15 years and over,Euro,34815,CARLOW
Mean Annual Earnings,2011,Both sexes,Carlow,25 - 29 years,Euro,29135,CARLOW
Mean Annual Earnings,2011,Both sexes,Carlow,30 - 39 years,Euro,36475,CARLOW
Mean Annual Earnings,2011,Both sexes,Carlow,40 - 49 years,Euro,39468,CARLOW
Mean Annual Earnings,2011,Both sexes,Carlow,50 - 59 years,Euro,37497,CARLOW
Mean Annual Earnings,2011,Both sexes,Carlow,60 years and over,Euro,29740,CARLOW
Mean Annual Earnings,2011,Both sexes,Donegal,15 - 24 years,Euro,15370,DONEGAL
Mean Annual Earnings,2011,Both sexes,Donegal,15 years and over,Euro,31776,DONEGAL
Mean Annual Earnings,2011,Both sexes,Donegal,25 - 29 years,Euro,27001,DONEGAL
Mean Annual Earnings,2011,Both sexes,Donegal,30 - 39 years,Euro,33348,DONEGAL
