Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County,Mean_Median_Diff,Mean_Median_Diff_Perc
Mean Annual Earnings,2011,Both sexes,Clare,15 - 24 years,Euro,17926,CLARE,1154.0,6.8805151442881
Mean Annual Earnings,2011,Both sexes,Clare,15 years and over,Euro,38592,CLARE,5822.0,17.766249618553555
Mean Annual Earnings,2011,Both sexes,Clare,25 - 29 years,Euro,29648,CLARE,2544.0,9.386068476977568
Mean Annual Earnings,2011,Both sexes,Clare,30 - 39 years,Euro,38815,CLARE,3594.0,10.204139575821243
Mean Annual Earnings,2011,Both sexes,Clare,40 - 49 years,Euro,44290,CLARE,7250.0,19.57343412526998
Mean Annual Earnings,2011,Both sexes,Clare,50 - 59 years,Euro,43667,CLARE,7554.0,20.91767507545759
Mean Annual Earnings,2011,Both sexes,Clare,60 years and over,Euro,29844,CLARE,7398.0,32.95910184442663
Mean Annual Earnings,2011,Both sexes,Cork,15 - 24 years,Euro,17702,CORK,1582.0,9.813895781637717
Mean Annual Earnings,2011,Both sexes,Cork,15 years and over,Euro,39169,CORK,6148.0,18.618454922624995
Mean Annual Earnings,2011,Both sexes,Cork,25 - 29 years,Euro,29776,CORK,1923.0,6.904103687215022
Mean Annual Earnings,2011,Both sexes,Cork,30 - 39 years,Euro,40433,CORK,3933.0,10.775342465753425
Mean Annual Earnings,2011,Both sexes,Cork,40 - 49 years,Euro,46167,CORK,7992.0,20.93516699410609
Mean Annual Earnings,2011,Both sexes,Cork,50 - 59 years,Euro,43680,CORK,6909.0,18.789263278126786
Mean Annual Earnings,2011,Both sexes,Cork,60 years and over,Euro,31761,CORK,7492.0,30.870658041122418
Mean Annual Earnings,2011,Both sexes,Cavan,15 - 24 years,Euro,18274,CAVAN,683.0,3.882667273037349
Mean Annual Earnings,2011,Both sexes,Cavan,15 years and over,Euro,34489,CAVAN,4370.0,14.509113848401341
Mean Annual Earnings,2011,Both sexes,Cavan,25 - 29 years,Euro,29612,CAVAN,2311.0,8.464891395919564
Mean Annual Earnings,2011,Both sexes,Cavan,30 - 39 years,Euro,36487,CAVAN,3154.0,9.462094620946209
Mean Annual Earnings,2011,Both sexes,Cavan,40 - 49 years,Euro,38029,CAVAN,5414.0,16.599724053349686
Mean Annual Earnings,2011,Both sexes,Cavan,50 - 59 years,Euro,37105,CAVAN,5305.0,16.68238993710692
Mean Annual Earnings,2011,Both sexes,Cavan,60 years and over,Euro,28915,CAVAN,5058.0,21.201324558829693
Mean Annual Earnings,2011,Both sexes,Carlow,15 - 24 years,Euro,17558,CARLOW,1491.0,9.279890458704177
Mean Annual Earnings,2011,Both sexes,Carlow,15 years and over,Euro,34815,CARLOW,4287.0,14.042845911949685
Mean Annual Earnings,2011,Both sexes,Carlow,25 - 29 years,Euro,29135,CARLOW,1839.0,6.737250879249707
Mean Annual Earnings,2011,Both sexes,Carlow,30 - 39 years,Euro,36475,CARLOW,3158.0,9.478644535822554
Mean Annual Earnings,2011,Both sexes,Carlow,40 - 49 years,Euro,39468,CARLOW,5801.0,17.230522470074554
Mean Annual Earnings,2011,Both sexes,Carlow,50 - 59 years,Euro,37497,CARLOW,4997.0,15.375384615384615
Mean Annual Earnings,2011,Both sexes,Carlow,60 years and over,Euro,29740,CARLOW,5358.0,21.975227626937905
Mean Annual Earnings,2011,Both sexes,Donegal,15 - 24 years,Euro,15370,DONEGAL,1852.0,13.700251516496524
Mean Annual Earnings,2011,Both sexes,Donegal,15 years and over,Euro,31776,DONEGAL,4465.0,16.34872395737981
Mean Annual Earnings,2011,Both sexes,Donegal,25 - 29 years,Euro,27001,DONEGAL,3009.0,12.541680560186728
Mean Annual Earnings,2011,Both sexes,Donegal,30 - 39 years,Euro,33348,DONEGAL,2848.0,9.337704918032786
Mean Annual Earnings,2011,Both sexes,Donegal,40 - 49 years,Euro,35624,DONEGAL,4690.0,15.16131117863839
Mean Annual Earnings,2011,Both sexes,Donegal,50 - 59 years,Euro,35468,DONEGAL,4487.0,14.48307026887447
Mean Annual Earnings,2011,Both sexes,Donegal,60 years and over,Euro,25159,DONEGAL,5970.0,31.111574339465317
Mean Annual Earnings,2011,Both sexes,Dublin,15 - 24 years,Euro,18672,DUBLIN,903.0,5.08188418031403
Mean Annual Earnings,2011,Both sexes,Dublin,15 years and over,Euro,44243,DUBLIN,8418.0,23.49755757152826
Mean Annual Earnings,2011,Both sexes,Dublin,25 - 29 years,Euro,31441,DUBLIN,2378.0,8.182224821938547
Mean Annual Earnings,2011,Both sexes,Dublin,30 - 39 years,Euro,44940,DUBLIN,5644.0,14.362785016286646
Mean Annual Earnings,2011,Both sexes,Dublin,40 - 49 years,Euro,54216,DUBLIN,11604.0,27.23176569980287
Mean Annual Earnings,2011,Both sexes,Dublin,50 - 59 years,Euro,51241,DUBLIN,10203.0,24.86232272527901
Mean Annual Earnings,2011,Both sexes,Dublin,60 years and over,Euro,39148,DUBLIN,8991.0,29.813973538481946
Mean Annual Earnings,2011,Both sexes,Galway,15 - 24 years,Euro,17660,GALWAY,1160.0,7.03030303030303
Mean Annual Earnings,2011,Both sexes,Galway,15 years and over,Euro,37499,GALWAY,5169.0,15.988246210949583
Mean Annual Earnings,2011,Both sexes,Galway,25 - 29 years,Euro,29691,GALWAY,2684.0,9.938164179657125
Mean Annual Earnings,2011,Both sexes,Galway,30 - 39 years,Euro,38597,GALWAY,3357.0,9.526106696935301
Mean Annual Earnings,2011,Both sexes,Galway,40 - 49 years,Euro,43490,GALWAY,7348.0,20.33091693874163
Mean Annual Earnings,2011,Both sexes,Galway,50 - 59 years,Euro,41329,GALWAY,6172.0,17.55553659299713
Mean Annual Earnings,2011,Both sexes,Galway,60 years and over,Euro,30833,GALWAY,5974.0,24.031537873607146
Mean Annual Earnings,2011,Both sexes,Kildare,15 - 24 years,Euro,18263,KILDARE,1244.0,7.309477642634702
Mean Annual Earnings,2011,Both sexes,Kildare,15 years and over,Euro,42084,KILDARE,6351.0,17.77348669297288
Mean Annual Earnings,2011,Both sexes,Kildare,25 - 29 years,Euro,31448,KILDARE,2123.0,7.239556692242115
Mean Annual Earnings,2011,Both sexes,Kildare,30 - 39 years,Euro,43049,KILDARE,3708.0,9.425281512925446
Mean Annual Earnings,2011,Both sexes,Kildare,40 - 49 years,Euro,49458,KILDARE,8341.0,20.286013084612204
Mean Annual Earnings,2011,Both sexes,Kildare,50 - 59 years,Euro,47237,KILDARE,7945.0,20.22040109946045
Mean Annual Earnings,2011,Both sexes,Kildare,60 years and over,Euro,34834,KILDARE,6199.0,21.648332460275885
Mean Annual Earnings,2011,Both sexes,Kilkenny,15 - 24 years,Euro,17678,KILKENNY,1529.0,9.468078518793734
Mean Annual Earnings,2011,Both sexes,Kilkenny,15 years and over,Euro,36856,KILKENNY,4840.0,15.11744127936032
Mean Annual Earnings,2011,Both sexes,Kilkenny,25 - 29 years,Euro,29808,KILKENNY,2211.0,8.01174040656593
Mean Annual Earnings,2011,Both sexes,Kilkenny,30 - 39 years,Euro,38745,KILKENNY,3120.0,8.757894736842106
Mean Annual Earnings,2011,Both sexes,Kilkenny,40 - 49 years,Euro,41589,KILKENNY,6177.0,17.443239579803457
Mean Annual Earnings,2011,Both sexes,Kilkenny,50 - 59 years,Euro,40403,KILKENNY,5900.0,17.099962322116916
Mean Annual Earnings,2011,Both sexes,Kilkenny,60 years and over,Euro,28430,KILKENNY,5505.0,24.013086150490732
Mean Annual Earnings,2011,Both sexes,Kerry,15 - 24 years,Euro,17362,KERRY,1485.0,9.353152358757951
Mean Annual Earnings,2011,Both sexes,Kerry,15 years and over,Euro,34455,KERRY,5211.0,17.81903980303652
Mean Annual Earnings,2011,Both sexes,Kerry,25 - 29 years,Euro,28798,KERRY,2866.0,11.051982107049206
Mean Annual Earnings,2011,Both sexes,Kerry,30 - 39 years,Euro,35118,KERRY,3901.0,12.496396194381267
Mean Annual Earnings,2011,Both sexes,Kerry,40 - 49 years,Euro,38764,KERRY,6195.0,19.021155086124843
Mean Annual Earnings,2011,Both sexes,Kerry,50 - 59 years,Euro,38021,KERRY,5729.0,17.74123621949709
Mean Annual Earnings,2011,Both sexes,Kerry,60 years and over,Euro,28544,KERRY,7026.0,32.65173343247514
Mean Annual Earnings,2011,Both sexes,Longford,15 - 24 years,Euro,18747,LONGFORD,1000.0,5.634755169887868
Mean Annual Earnings,2011,Both sexes,Longford,15 years and over,Euro,33473,LONGFORD,4295.0,14.719994516416477
Mean Annual Earnings,2011,Both sexes,Longford,25 - 29 years,Euro,29406,LONGFORD,2254.0,8.301414260459635
Mean Annual Earnings,2011,Both sexes,Longford,30 - 39 years,Euro,35565,LONGFORD,3269.0,10.121996532078276
Mean Annual Earnings,2011,Both sexes,Longford,40 - 49 years,Euro,37111,LONGFORD,5545.0,17.56636887790661
Mean Annual Earnings,2011,Both sexes,Longford,50 - 59 years,Euro,36199,LONGFORD,4719.0,14.990470139771283
Mean Annual Earnings,2011,Both sexes,Longford,60 years and over,Euro,27107,LONGFORD,4047.0,17.549869904596704
Mean Annual Earnings,2011,Both sexes,Louth,15 - 24 years,Euro,16962,LOUTH,1436.0,9.249001674610332
Mean Annual Earnings,2011,Both sexes,Louth,15 years and over,Euro,36209,LOUTH,5128.0,16.49882564911039
Mean Annual Earnings,2011,Both sexes,Louth,25 - 29 years,Euro,28560,LOUTH,2487.0,9.538603152686687
Mean Annual Earnings,2011,Both sexes,Louth,30 - 39 years,Euro,37500,LOUTH,3500.0,10.294117647058824
Mean Annual Earnings,2011,Both sexes,Louth,40 - 49 years,Euro,41925,LOUTH,5924.0,16.45509846948696
Mean Annual Earnings,2011,Both sexes,Louth,50 - 59 years,Euro,41032,LOUTH,6197.0,17.789579445959525
Mean Annual Earnings,2011,Both sexes,Louth,60 years and over,Euro,29251,LOUTH,4978.0,20.508383800931075
Mean Annual Earnings,2011,Both sexes,Limerick,15 - 24 years,Euro,17572,LIMERICK,1251.0,7.664971509098708
Mean Annual Earnings,2011,Both sexes,Limerick,15 years and over,Euro,38156,LIMERICK,5982.0,18.592652452290668
Mean Annual Earnings,2011,Both sexes,Limerick,25 - 29 years,Euro,29501,LIMERICK,2820.0,10.569318991042314
Mean Annual Earnings,2011,Both sexes,Limerick,30 - 39 years,Euro,39153,LIMERICK,3917.0,11.116471790214554
Mean Annual Earnings,2011,Both sexes,Limerick,40 - 49 years,Euro,44149,LIMERICK,7821.0,21.52884827130588
Mean Annual Earnings,2011,Both sexes,Limerick,50 - 59 years,Euro,43207,LIMERICK,6895.0,18.988213262833224
Mean Annual Earnings,2011,Both sexes,Limerick,60 years and over,Euro,32926,LIMERICK,6660.0,25.35597350186553
Mean Annual Earnings,2011,Both sexes,Leitrim,15 - 24 years,Euro,17517,LEITRIM,1550.0,9.707521763637502
Mean Annual Earnings,2011,Both sexes,Leitrim,15 years and over,Euro,34461,LEITRIM,3018.0,9.598320770918805
Mean Annual Earnings,2011,Both sexes,Leitrim,25 - 29 years,Euro,30865,LEITRIM,2739.0,9.738320415274124
Mean Annual Earnings,2011,Both sexes,Leitrim,30 - 39 years,Euro,38325,LEITRIM,2005.0,5.520374449339207
Mean Annual Earnings,2011,Both sexes,Leitrim,40 - 49 years,Euro,37928,LEITRIM,3877.0,11.385862382896244
Mean Annual Earnings,2011,Both sexes,Leitrim,50 - 59 years,Euro,34321,LEITRIM,3121.0,10.003205128205128
Mean Annual Earnings,2011,Both sexes,Leitrim,60 years and over,Euro,25194,LEITRIM,5203.0,26.026712020409185
Mean Annual Earnings,2011,Both sexes,Laois,15 - 24 years,Euro,18430,LAOIS,1580.0,9.376854599406528
Mean Annual Earnings,2011,Both sexes,Laois,15 years and over,Euro,37253,LAOIS,3721.0,11.096862698318025
Mean Annual Earnings,2011,Both sexes,Laois,25 - 29 years,Euro,31200,LAOIS,1519.0,5.117752097301304
Mean Annual Earnings,2011,Both sexes,Laois,30 - 39 years,Euro,39216,LAOIS,2569.0,7.010123611755396
